OS03G0784300	AT1G01020|AT4G01510
OS01G0293000	AT1G02500|AT4G01850
OS05G0135700	AT1G02500|AT4G01850
OS11G0677400	AT1G02550|AT2G47340|AT3G36659
OS12G0561500	AT1G02550|AT2G47340|AT3G36659
OS03G0308100	AT1G02560
OS05G0355300	AT1G02610|AT4G02075
OS01G0303600	AT1G02610|AT4G02075
OS01G0338000	AT1G02620
OS12G0560300	AT1G02620
OS11G0673200	AT1G02640
OS07G0689800	AT1G02650|AT2G47440|AT3G62570|AT4G02100
OS03G0304500	AT1G02650|AT2G47440|AT3G62570|AT4G02100
OS01G0253900	AT1G02660|AT3G62590
OS07G0511500	AT1G02670|AT1G05120
OS01G0338100	AT1G02680
OS05G0155601	AT1G02690|AT4G02150
OS01G0253300	AT1G02690|AT4G02150
OS07G0675200	AT1G02700
OS03G0300900	AT1G02720|AT3G62660|AT4G02130
OS12G0555600	AT1G02730
OS04G0101300	AT1G02740
OS11G0545600	AT1G02740
OS05G0358000	AT1G02750|AT4G02200
OS03G0337800	AT1G02780|AT3G16780|AT4G02230|AT4G16030
OS03G0579300	AT1G02780|AT3G16780|AT4G02230|AT4G16030
OS01G0312800	AT1G02800|AT4G02290
OS05G0361500	AT1G02810|AT2G47550|AT4G02330
OS01G0311800	AT1G02810|AT2G47550|AT4G02330
OS05G0362500	AT1G02813|AT4G02360
OS05G0362300	AT1G02813|AT4G02360
OS05G0362500	AT1G02816|AT4G02370
OS05G0362300	AT1G02816|AT4G02370
OS03G0344100	AT1G02840|AT4G02430
OS07G0673500	AT1G02840|AT4G02430
OS05G0364600	AT1G02840|AT4G02430
OS01G0316600	AT1G02840|AT4G02430
OS04G0474500	AT1G02850
OS07G0673200	AT1G02860
OS05G0367100	AT1G02870
OS01G0356500	AT1G02880|AT2G44750
OS05G0367400	AT1G02880|AT2G44750
OS01G0931400	AT1G02880|AT2G44750
OS11G0661400	AT1G02890|AT4G02480
OS03G0344700	AT1G02890|AT4G02480
OS07G0672500	AT1G02890|AT4G02480
OS12G0542000	AT1G02900
OS02G0670500	AT1G02900
OS01G0257100	AT1G02900
OS01G0358100	AT1G02900
OS01G0357900	AT1G02900
OS12G0541700	AT1G02900
OS01G0932950	AT1G02900
OS01G0358300	AT1G02910
OS01G0933900	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
OS01G0933900	AT1G02940|AT1G02950|AT1G49860
OS02G0135300	AT1G02970
OS01G0369200	AT1G02980|AT1G43140|AT1G59790|AT1G59800
OS05G0193900	AT1G02980|AT1G43140|AT1G59790|AT1G59800
OS03G0347300	AT1G02990
OS07G0669800	AT1G02990
OS05G0371100	AT1G02990
OS04G0617600	AT1G03000
OS03G0347700	AT1G03010
OS12G0601200	AT1G03030
OS07G0182200	AT1G03040|AT4G02590
OS03G0797600	AT1G03040|AT4G02590
OS05G0426100	AT1G03050|AT4G02650
OS01G0881100	AT1G03050|AT4G02650
OS11G0587000	AT1G03055
OS03G0744675	AT1G03060|AT4G02660
OS03G0744650	AT1G03060|AT4G02660
OS03G0745600	AT1G03070|AT4G02690
OS03G0161100	AT1G03080|AT4G02710
OS03G0103950	AT1G03080|AT4G02710
OS10G0422000	AT1G03080|AT4G02710
OS12G0605100	AT1G03080|AT4G02710
OS12G0605200	AT1G03080|AT4G02710
OS10G0422075	AT1G03080|AT4G02710
OS03G0637900	AT1G03080|AT4G02710
OS12G0605800	AT1G03090
OS10G0422566	AT1G03100
OS03G0794000	AT1G03103|AT2G48130
OS07G0175000	AT1G03103|AT2G48130
OS07G0175600	AT1G03103|AT2G48130
OS07G0174900	AT1G03103|AT2G48130
OS03G0793800	AT1G03103|AT2G48130
OS07G0174400	AT1G03103|AT2G48130
OS03G0746800	AT1G03110
OS03G0747400	AT1G03120|AT5G53260|AT5G53270
OS08G0560900	AT1G03130|AT4G02770
OS07G0571900	AT1G03140|AT1G54590
OS03G0701100	AT1G03140|AT1G54590
OS03G0699400	AT1G03150
OS05G0390100	AT1G03160
OS05G0251400	AT1G03180
OS05G0144800	AT1G03190
OS01G0266500	AT1G03210|AT4G02850|AT4G02860
OS03G0434400	AT1G03210|AT4G02850|AT4G02860
OS11G0406945	AT1G03210|AT4G02850|AT4G02860
OS05G0402900	AT1G03220|AT1G03230
OS05G0403300	AT1G03220|AT1G03230
OS05G0403100	AT1G03220|AT1G03230
OS05G0403000	AT1G03220|AT1G03230
OS12G0144000	AT1G03250
OS11G0147100	AT1G03250
OS07G0655900	AT1G03260
OS05G0395300	AT1G03270
OS12G0134300	AT1G03280|AT4G20340|AT4G20810
OS11G0137400	AT1G03280|AT4G20340|AT4G20810
OS12G0140266	AT1G03280|AT4G20340|AT4G20810
OS08G0343300	AT1G03280|AT4G20340|AT4G20810
OS11G0137500	AT1G03280|AT4G20340|AT4G20810
OS05G0394900	AT1G03290|AT4G02880
OS10G0315400	AT1G03290|AT4G02880
OS05G0393700	AT1G03310
OS08G0154700	AT1G03330
OS05G0143300	AT1G03340|AT4G02920
OS07G0647400	AT1G03350
OS01G0273300	AT1G03350
OS04G0520000	AT1G03360
OS05G0141500	AT1G03365|AT4G03000
OS06G0607900	AT1G03370
OS06G0297800	AT1G03370
OS02G0199800	AT1G03370
OS08G0492400	AT1G03370
OS05G0405900	AT1G03380
OS05G0406800	AT1G03440|AT4G03010
OS05G0144400	AT1G03445|AT4G03080
OS05G0373400	AT1G03457|AT4G03110
OS01G0938200	AT1G03457|AT4G03110
OS07G0663300	AT1G03457|AT4G03110
OS07G0666600	AT1G03470|AT2G47920
OS04G0610800	AT1G03475|AT4G03205
OS04G0606000	AT1G03495|AT1G03940
OS02G0483500	AT1G03495|AT1G03940
OS02G0484200	AT1G03495|AT1G03940
OS02G0486500	AT1G03495|AT1G03940
OS02G0483800	AT1G03495|AT1G03940
OS02G0485800	AT1G03495|AT1G03940
OS02G0820400	AT1G03495|AT1G03940
OS07G0414000	AT1G03495|AT1G03940
OS03G0852000	AT1G03510
OS08G0143500	AT1G03520|AT4G03340
OS05G0502800	AT1G03530
OS06G0611200	AT1G03540
OS03G0582200	AT1G03550
OS05G0503000	AT1G03550
OS07G0564600	AT1G03550
OS01G0780500	AT1G03550
OS07G0491500	AT1G03560
OS07G0566200	AT1G03590|AT4G03415
OS03G0333400	AT1G03600
OS04G0528000	AT1G03610|AT4G03420|AT4G28150
OS10G0494000	AT1G03610|AT4G03420|AT4G28150
OS02G0827400	AT1G03610|AT4G03420|AT4G28150
OS04G0101700	AT1G03620
OS10G0500400	AT1G03650
OS12G0229600	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0435800	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS09G0334900	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0435300	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0182900	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0434850	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0183150	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0435100	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS11G0434400	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
OS06G0342750	AT1G03687
OS06G0343000	AT1G03687
OS05G0245300	AT1G03700|AT4G03540
OS01G0237000	AT1G03700|AT4G03540
OS12G0295600	AT1G03730|AT4G03600|AT4G28330|AT4G28340
OS02G0304500	AT1G03740|AT4G22940|AT5G44290
OS05G0247900	AT1G03750
OS01G0928300	AT1G03760
OS05G0497600	AT1G03770|AT5G44280
OS01G0796700	AT1G03770|AT5G44280
OS07G0507200	AT1G03780
OS05G0497300	AT1G03800
OS01G0797600	AT1G03800
OS01G0754100	AT1G03810|AT4G28440
OS05G0563050	AT1G03830
OS05G0563100	AT1G03830
OS02G0307000	AT1G03830
OS01G0242200	AT1G03840
OS01G0667900	AT1G03850|AT1G28480
OS01G0241400	AT1G03850|AT1G28480
OS07G0262200	AT1G03860|AT2G20530|AT4G28510|AT5G44140
OS03G0814600	AT1G03860|AT2G20530|AT4G28510|AT5G44140
OS03G0813200	AT1G03860|AT2G20530|AT4G28510|AT5G44140
OS03G0841700	AT1G03860|AT2G20530|AT4G28510|AT5G44140
OS01G0668100	AT1G03870|AT2G20520|AT5G44130
OS02G0308400	AT1G03870|AT2G20520|AT5G44130
OS05G0563600	AT1G03870|AT2G20520|AT5G44130
OS05G0563550	AT1G03870|AT2G20520|AT5G44130
OS02G0308800	AT1G03870|AT2G20520|AT5G44130
OS08G0127900	AT1G03880|AT1G03890|AT4G28520|AT5G44120
OS10G0476000	AT1G03900
OS02G0810300	AT1G03905|AT5G44110
OS03G0800100	AT1G03910
OS10G0476100	AT1G03920|AT2G20470
OS10G0476400	AT1G03950
OS10G0476600	AT1G03960|AT5G44090
OS02G0191700	AT1G03960|AT5G44090
OS01G0867300	AT1G03970|AT5G44080
OS05G0437700	AT1G03970|AT5G44080
OS06G0102300	AT1G03980|AT5G44070
OS05G0415200	AT1G03980|AT5G44070
OS07G0446000	AT1G03982|AT3G23380
OS02G0810600	AT1G03982|AT3G23380
OS02G0621800	AT1G03990|AT4G28570
OS10G0475100	AT1G03990|AT4G28570
OS10G0474800	AT1G03990|AT4G28570
OS10G0474100	AT1G03990|AT4G28570
OS10G0474900	AT1G03990|AT4G28570
OS04G0512500	AT1G04000|AT5G44060
OS10G0472501	AT1G04000|AT5G44060
OS02G0621600	AT1G04000|AT5G44060
OS02G0814100	AT1G04010
OS04G0512400	AT1G04020
OS05G0486600	AT1G04020
OS03G0138500	AT1G04030|AT5G44040
OS04G0511700	AT1G04030|AT5G44040
OS04G0692900	AT1G04050|AT5G43990
OS02G0131600	AT1G04070|AT5G43970
OS02G0496900	AT1G04070|AT5G43970
OS03G0210400	AT1G04080
OS03G0142900	AT1G04090|AT5G43950
OS02G0817600	AT1G04100|AT4G28640
OS03G0143100	AT1G04110
OS03G0430500	AT1G04110
OS02G0665300	AT1G04110
OS04G0559000	AT1G04110
OS05G0368700	AT1G04110
OS04G0182300	AT1G04110
OS04G0558900	AT1G04110
OS07G0685900	AT1G04110
OS03G0142800	AT1G04120
OS03G0750100	AT1G04130
OS02G0290300	AT1G04140|AT5G43930
OS09G0296900	AT1G04140|AT5G43930
OS02G0816000	AT1G04150
OS12G0607100	AT1G04170|AT2G18720|AT4G18330
OS12G0176800	AT1G04170|AT2G18720|AT4G18330
OS07G0437000	AT1G04180|AT4G28720|AT5G43890
OS04G0128900	AT1G04180|AT4G28720|AT5G43890
OS12G0604800	AT1G04190
OS01G0773100	AT1G04200
OS03G0744300	AT1G04210
OS03G0797700	AT1G04230|AT5G43720
OS03G0742900	AT1G04250
OS12G0601300	AT1G04250
OS03G0798400	AT1G04260
OS03G0741600	AT1G04260
OS03G0798600	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
OS05G0508800	AT1G04280
OS01G0774500	AT1G04280
OS03G0628800	AT1G04280
OS04G0436100	AT1G04290
OS12G0597200	AT1G04300|AT4G16045|AT5G43560
OS05G0508700	AT1G04300|AT4G16045|AT5G43560
OS01G0775300	AT1G04300|AT4G16045|AT5G43560
OS04G0169100	AT1G04310|AT3G23150
OS07G0259100	AT1G04310|AT3G23150
OS02G0820900	AT1G04310|AT3G23150
OS02G0820200	AT1G04360|AT5G43420
OS03G0149700	AT1G04360|AT5G43420
OS03G0149800	AT1G04360|AT5G43420
OS04G0257500	AT1G04370|AT3G23220|AT3G23230|AT5G43410
OS03G0150200	AT1G04370|AT3G23220|AT3G23230|AT5G43410
OS09G0571700	AT1G04370|AT3G23220|AT3G23230|AT5G43410
OS06G0674800	AT1G04390
OS02G0625000	AT1G04400
OS10G0478200	AT1G04410|AT5G43330
OS03G0611200	AT1G04420
OS10G0477100	AT1G04430|AT3G23300|AT4G14360
OS02G0810400	AT1G04440|AT3G23340|AT4G14340|AT5G43320
OS04G0514800	AT1G04440|AT3G23340|AT4G14340|AT5G43320
OS10G0476300	AT1G04440|AT3G23340|AT4G14340|AT5G43320
OS02G0622100	AT1G04440|AT3G23340|AT4G14340|AT5G43320
OS03G0138600	AT1G04470|AT2G33420
OS10G0471000	AT1G04470|AT2G33420
OS02G0814700	AT1G04480|AT2G33370|AT3G04400
OS03G0139200	AT1G04490|AT2G33360
OS10G0466500	AT1G04500|AT2G33350
OS10G0466300	AT1G04510|AT2G33340
OS03G0140500	AT1G04520|AT2G33330
OS04G0510600	AT1G04530
OS02G0815100	AT1G04540|AT2G33320
OS02G0817600	AT1G04550|AT2G33310
OS02G0816700	AT1G04555
OS07G0422100	AT1G04560
OS05G0381400	AT1G04560
OS07G0425000	AT1G04570|AT2G33280
OS07G0164900	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS07G0281800	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS07G0282300	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS03G0790700	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS03G0790900	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS10G0138100	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS07G0282401	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS07G0282500	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS03G0798101	AT1G04580|AT2G27150|AT3G43600|AT5G20960
OS11G0125500	AT1G04590
OS12G0123100	AT1G04590
OS07G0437000	AT1G04610|AT2G33230
OS04G0128900	AT1G04610|AT2G33230
OS04G0320100	AT1G04620
OS03G0192400	AT1G04630|AT2G33220
OS04G0295100	AT1G04635
OS05G0270500	AT1G04635
OS03G0321800	AT1G04640
OS03G0144000	AT1G04650
OS02G0817500	AT1G04690
OS12G0594300	AT1G04700
OS10G0457600	AT1G04710|AT2G33150
OS03G0264800	AT1G04730
OS12G0639800	AT1G04750|AT1G04760|AT2G32670|AT2G33110|AT2G33120
OS05G0506000	AT1G04770|AT5G22794
OS03G0165900	AT1G04770|AT5G22794
OS07G0436100	AT1G04780|AT3G24210
OS04G0511600	AT1G04790
OS04G0608500	AT1G04810|AT2G32730
OS08G0224700	AT1G04810|AT2G32730
OS03G0726100	AT1G04820|AT1G50010|AT4G14960
OS11G0247300	AT1G04820|AT1G50010|AT4G14960
OS01G0908100	AT1G04830|AT4G13730
OS09G0573000	AT1G04840
OS08G0527900	AT1G04860|AT2G32780
OS08G0528000	AT1G04860|AT2G32780
OS08G0527400	AT1G04860|AT2G32780
OS08G0528100	AT1G04860|AT2G32780
OS08G0527100	AT1G04860|AT2G32780
OS08G0527800	AT1G04860|AT2G32780
OS09G0505100	AT1G04860|AT2G32780
OS08G0527600	AT1G04860|AT2G32780
OS08G0527300	AT1G04860|AT2G32780
OS06G0142800	AT1G04870
OS02G0469900	AT1G04880
OS01G0911900	AT1G04900
OS11G0481200	AT1G04910
OS12G0425600	AT1G04910
OS06G0502800	AT1G04910
OS03G0234600	AT1G04930|AT2G32840
OS01G0962500	AT1G04945
OS01G0510800	AT1G04950
OS09G0482740	AT1G04960
OS06G0309200	AT1G04970
OS09G0482720	AT1G04970
OS09G0451500	AT1G04980|AT2G32920
OS04G0669100	AT1G04985
OS06G0208700	AT1G05000|AT2G32960
OS09G0135700	AT1G05000|AT2G32960
OS02G0771400	AT1G05000|AT2G32960
OS02G0771600	AT1G05010
OS09G0451000	AT1G05010
OS09G0451400	AT1G05010
OS09G0394500	AT1G05030
OS09G0452300	AT1G05030
OS04G0508900	AT1G05055
OS06G0239700	AT1G05060
OS03G0777500	AT1G05070|AT2G32580
OS08G0447500	AT1G05090|AT4G20720
OS10G0130000	AT1G05100|AT2G32510
OS01G0699600	AT1G05100|AT2G32510
OS05G0545400	AT1G05100|AT2G32510
OS01G0699100	AT1G05100|AT2G32510
OS02G0322400	AT1G05100|AT2G32510
OS01G0699500	AT1G05100|AT2G32510
OS05G0545300	AT1G05100|AT2G32510
OS01G0699400	AT1G05100|AT2G32510
OS03G0579000	AT1G05140|AT2G32480
OS05G0388025	AT1G05140|AT2G32480
OS03G0263900	AT1G05150|AT2G32450
OS06G0110000	AT1G05160|AT2G32440
OS06G0679500	AT1G05170|AT2G32430
OS02G0164300	AT1G05170|AT2G32430
OS03G0577500	AT1G05170|AT2G32430
OS03G0820100	AT1G05180|AT2G32410|AT3G25880
OS03G0356300	AT1G05190
OS03G0751400	AT1G05190
OS06G0680500	AT1G05200|AT2G32390
OS07G0103100	AT1G05200|AT2G32390
OS07G0522600	AT1G05200|AT2G32390
OS07G0458700	AT1G05210|AT1G05220|AT2G32380
OS07G0458500	AT1G05210|AT1G05220|AT2G32380
OS03G0646400	AT1G05210|AT1G05220|AT2G32380
OS03G0563600	AT1G05240|AT1G05250
OS07G0531400	AT1G05240|AT1G05250
OS06G0681600	AT1G05260|AT3G21770|AT4G11290
OS02G0161800	AT1G05260|AT3G21770|AT4G11290
OS05G0499500	AT1G05270|AT2G32340
OS07G0545100	AT1G05291
OS08G0206950	AT1G05310
OS04G0614700	AT1G05320|AT2G32240
OS04G0614650	AT1G05320|AT2G32240
OS02G0506500	AT1G05350
OS01G0778700	AT1G05360|AT4G14950
OS07G0571500	AT1G05360|AT4G14950
OS03G0219100	AT1G05370|AT3G22410
OS07G0173400	AT1G05380|AT4G14920
OS03G0747700	AT1G05385
OS03G0747200	AT1G05410
OS10G0431700	AT1G05420|AT2G32100
OS03G0159400	AT1G05420|AT2G32100
OS10G0430700	AT1G05430
OS10G0430800	AT1G05430
OS10G0430600	AT1G05430
OS03G0747100	AT1G05440
OS07G0175500	AT1G05450
OS03G0160400	AT1G05460
OS05G0392400	AT1G05490|AT3G24340
OS02G0650800	AT1G05490|AT3G24340
OS05G0569500	AT1G05510|AT2G31985
OS11G0433500	AT1G05520|AT3G23660|AT4G14160
OS02G0203300	AT1G05530|AT1G05560|AT4G14090|AT4G15550
