Solyc11g008790.1	AT1G01020|AT4G01510
Solyc01g091820.2	AT1G01880
Solyc01g091920.2	AT1G01900
Solyc01g091880.2	AT1G01910
Solyc10g017810.1	AT1G01910
Solyc01g091860.2	AT1G01920
Solyc01g091510.2	AT1G01930
Solyc08g006090.2	AT1G01940
Solyc01g091480.2	AT1G01950
Solyc01g112340.2	AT1G01960|AT3G60860
Solyc01g112350.2	AT1G01960|AT3G60860
Solyc01g091450.2	AT1G01970
Solyc02g022850.1	AT1G01980|AT1G11770|AT1G30740|AT4G20830|AT4G20840
Solyc05g050990.1	AT1G02000|AT4G00110
Solyc01g091200.2	AT1G02000|AT4G00110
Solyc10g018260.1	AT1G02000|AT4G00110
Solyc01g091140.2	AT1G02020
Solyc01g091130.2	AT1G02020
Solyc01g090840.2	AT1G02030|AT2G45120|AT3G60580
Solyc08g078580.1	AT1G02040
Solyc06g005180.1	AT1G02040
Solyc01g090600.2	AT1G02050|AT4G00040
Solyc03g095200.1	AT1G02060
Solyc01g090730.2	AT1G02065
Solyc10g018780.1	AT1G02065
Solyc10g018640.1	AT1G02070|AT3G60520
Solyc01g090740.2	AT1G02070|AT3G60520
Solyc01g090780.2	AT1G02080
Solyc01g090290.2	AT1G02090
Solyc01g090280.2	AT1G02100
Solyc01g090270.2	AT1G02110|AT3G60320
Solyc01g090230.2	AT1G02120
Solyc01g090170.2	AT1G02130
Solyc05g053940.2	AT1G02130
Solyc03g093680.2	AT1G02140
Solyc01g089900.2	AT1G02145
Solyc01g089870.2	AT1G02150
Solyc01g088770.2	AT1G02160
Solyc01g088710.2	AT1G02170
Solyc01g088620.2	AT1G02180
Solyc06g036100.2	AT1G02260
Solyc02g069100.2	AT1G02300|AT1G02305|AT4G01610
Solyc02g069110.2	AT1G02300|AT1G02305|AT4G01610
Solyc02g069090.2	AT1G02300|AT1G02305|AT4G01610
Solyc01g008720.1	AT1G02310
Solyc01g008710.2	AT1G02310
Solyc01g068580.2	AT1G02330
Solyc01g102390.2	AT1G02335|AT3G62020
Solyc01g102400.2	AT1G02335|AT3G62020
Solyc01g102380.2	AT1G02335|AT3G62020
Solyc01g079320.2	AT1G02370|AT4G01990
Solyc01g100690.2	AT1G02380|AT4G01960
Solyc01g079200.2	AT1G02400
Solyc05g012440.2	AT1G02410
Solyc11g071670.1	AT1G02420
Solyc01g079130.1	AT1G02460|AT4G01890
Solyc01g068030.2	AT1G02470|AT1G02475|AT4G01883
Solyc01g068020.2	AT1G02470|AT1G02475|AT4G01883
Solyc04g049200.1	AT1G02500|AT4G01850
Solyc06g009290.2	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
Solyc11g067310.1	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
Solyc06g009280.1	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
Solyc11g067300.1	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
Solyc01g059940.2	AT1G02550|AT2G47340|AT3G36659
Solyc01g100520.2	AT1G02560
Solyc01g079530.2	AT1G02610|AT4G02075
Solyc07g008200.2	AT1G02630
Solyc01g079570.2	AT1G02640
Solyc06g009670.2	AT1G02650|AT2G47440|AT3G62570|AT4G02100
Solyc01g079580.2	AT1G02650|AT2G47440|AT3G62570|AT4G02100
Solyc01g079600.2	AT1G02660|AT3G62590
Solyc07g051980.1	AT1G02670|AT1G05120
Solyc07g041440.1	AT1G02670|AT1G05120
Solyc10g049740.1	AT1G02670|AT1G05120
Solyc07g052100.2	AT1G02670|AT1G05120
Solyc07g051970.1	AT1G02670|AT1G05120
Solyc10g049750.1	AT1G02670|AT1G05120
Solyc07g051960.1	AT1G02670|AT1G05120
Solyc05g044480.2	AT1G02670|AT1G05120
Solyc05g044510.1	AT1G02670|AT1G05120
Solyc07g042660.1	AT1G02670|AT1G05120
Solyc02g078300.2	AT1G02680
Solyc06g036200.1	AT1G02680
Solyc06g009750.2	AT1G02690|AT4G02150
Solyc09g075600.1	AT1G02700
Solyc09g075560.1	AT1G02720|AT3G62660|AT4G02130
Solyc09g075550.2	AT1G02730
Solyc04g078400.2	AT1G02740
Solyc01g065550.2	AT1G02750|AT4G02200
Solyc12g099390.1	AT1G02750|AT4G02200
Solyc09g075430.2	AT1G02780|AT3G16780|AT4G02230|AT4G16030
Solyc06g009210.2	AT1G02780|AT3G16780|AT4G02230|AT4G16030
Solyc09g031760.1	AT1G02780|AT3G16780|AT4G02230|AT4G16030
Solyc06g009200.2	AT1G02790
Solyc09g075360.2	AT1G02800|AT4G02290
Solyc06g009180.1	AT1G02810|AT2G47550|AT4G02330
Solyc09g075330.2	AT1G02810|AT2G47550|AT4G02330
Solyc09g075270.1	AT1G02813|AT4G02360
Solyc06g009150.1	AT1G02813|AT4G02360
Solyc09g075220.1	AT1G02816|AT4G02370
Solyc06g009140.2	AT1G02820|AT4G02380
Solyc09g075210.2	AT1G02820|AT4G02380
Solyc09g075090.1	AT1G02840|AT4G02430
Solyc01g081170.1	AT1G02850
Solyc08g042020.1	AT1G02850
Solyc09g075060.2	AT1G02850
Solyc09g075070.2	AT1G02850
Solyc09g075040.2	AT1G02860
Solyc09g075030.2	AT1G02870
Solyc09g074970.2	AT1G02880|AT2G44750
Solyc06g084530.2	AT1G02890|AT4G02480
Solyc09g074950.2	AT1G02890|AT4G02480
Solyc01g099520.2	AT1G02900
Solyc01g067900.2	AT1G02900
Solyc09g074890.1	AT1G02900
Solyc09g074880.2	AT1G02910
Solyc06g009040.2	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
Solyc06g009020.2	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
Solyc09g074850.2	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
Solyc09g074840.2	AT1G02960
Solyc09g074830.2	AT1G02970
Solyc01g067140.1	AT1G02980|AT1G43140|AT1G59790|AT1G59800
Solyc09g074670.2	AT1G02990
Solyc06g008720.2	AT1G02990
Solyc06g008730.2	AT1G03000
Solyc09g074630.2	AT1G03010
Solyc09g074600.1	AT1G03020
Solyc09g074590.1	AT1G03020
Solyc09g065860.2	AT1G03030
Solyc09g065820.2	AT1G03040|AT4G02590
Solyc01g104870.2	AT1G03050|AT4G02650
Solyc11g044860.1	AT1G03050|AT4G02650
Solyc09g065750.2	AT1G03055
Solyc09g065700.2	AT1G03060|AT4G02660
Solyc00g053440.2	AT1G03070|AT4G02690
Solyc09g065550.2	AT1G03080|AT4G02710
Solyc09g065540.2	AT1G03090
Solyc04g008410.1	AT1G03100
Solyc06g054060.1	AT1G03103|AT2G48130
Solyc09g065420.2	AT1G03103|AT2G48130
Solyc09g065430.2	AT1G03103|AT2G48130
Solyc09g082280.2	AT1G03103|AT2G48130
Solyc06g008700.2	AT1G03110
Solyc06g054260.1	AT1G03130|AT4G02770
Solyc07g052050.1	AT1G03140|AT1G54590
Solyc09g065280.2	AT1G03140|AT1G54590
Solyc07g052190.1	AT1G03140|AT1G54590
Solyc06g065230.2	AT1G03150
Solyc09g065160.2	AT1G03160
Solyc06g084280.1	AT1G03170|AT4G02810
Solyc09g065140.1	AT1G03170|AT4G02810
Solyc06g008990.1	AT1G03170|AT4G02810
Solyc09g065110.2	AT1G03180
Solyc06g008970.2	AT1G03190
Solyc09g064940.2	AT1G03210|AT4G02850|AT4G02860
Solyc01g080010.2	AT1G03220|AT1G03230
Solyc09g064930.2	AT1G03250
Solyc09g064870.2	AT1G03270
Solyc03g119790.2	AT1G03280|AT4G20340|AT4G20810
Solyc09g064860.2	AT1G03290|AT4G02880
Solyc01g079230.2	AT1G03300|AT1G11420|AT1G26540|AT2G46840|AT2G47230|AT3G62300|AT5G23770|AT5G23780|AT5G23800
Solyc09g064800.1	AT1G03310
Solyc06g084350.2	AT1G03330
Solyc09g072970.2	AT1G03330
Solyc09g072990.2	AT1G03340|AT4G02920
Solyc09g074060.2	AT1G03350
Solyc09g074090.2	AT1G03360
Solyc09g074120.1	AT1G03365|AT4G03000
Solyc09g074170.1	AT1G03365|AT4G03000
Solyc09g074160.1	AT1G03365|AT4G03000
Solyc10g050580.1	AT1G03365|AT4G03000
Solyc10g050610.1	AT1G03365|AT4G03000
Solyc09g074190.1	AT1G03365|AT4G03000
Solyc08g016350.1	AT1G03365|AT4G03000
Solyc09g074130.1	AT1G03365|AT4G03000
Solyc06g008900.2	AT1G03365|AT4G03000
Solyc10g050590.1	AT1G03365|AT4G03000
Solyc09g074150.1	AT1G03365|AT4G03000
Solyc09g074140.1	AT1G03365|AT4G03000
Solyc09g074200.1	AT1G03365|AT4G03000
Solyc04g015160.2	AT1G03370
Solyc08g013830.1	AT1G03390
Solyc09g089710.2	AT1G03400|AT1G03410|AT1G04350|AT1G04380|AT1G06620|AT1G06640|AT1G06645|AT1G06650|AT2G25450|AT2G30830|AT2G30840|AT3G61400|AT5G43440|AT5G43450|AT5G59530|AT5G59540
Solyc09g089700.2	AT1G03400|AT1G03410|AT1G04350|AT1G04380|AT1G06620|AT1G06640|AT1G06645|AT1G06650|AT2G25450|AT2G30830|AT2G30840|AT3G61400|AT5G43440|AT5G43450|AT5G59530|AT5G59540
Solyc06g084410.2	AT1G03430|AT3G29350|AT4G04402|AT5G39340
Solyc06g084420.1	AT1G03440|AT4G03010
Solyc09g074260.1	AT1G03440|AT4G03010
Solyc09g074320.2	AT1G03445|AT4G03080
Solyc09g074360.2	AT1G03457|AT4G03110
Solyc09g074470.2	AT1G03470|AT2G47920
Solyc10g005110.2	AT1G03475|AT4G03205
Solyc10g008670.2	AT1G03495|AT1G03940
Solyc10g008680.1	AT1G03495|AT1G03940
Solyc10g008590.1	AT1G03510
Solyc07g054440.2	AT1G03520|AT4G03340
Solyc07g054460.2	AT1G03530
Solyc10g008570.2	AT1G03540
Solyc12g010750.1	AT1G03550
Solyc07g054490.2	AT1G03550
Solyc10g008550.2	AT1G03550
Solyc10g008510.1	AT1G03560
Solyc07g054300.2	AT1G03590|AT4G03415
Solyc10g008490.2	AT1G03590|AT4G03415
Solyc07g054290.1	AT1G03600
Solyc10g008480.2	AT1G03610|AT4G03420|AT4G28150
Solyc12g010730.1	AT1G03610|AT4G03420|AT4G28150
Solyc07g054270.2	AT1G03610|AT4G03420|AT4G28150
Solyc10g008470.2	AT1G03620
Solyc07g054210.2	AT1G03630
Solyc12g010680.1	AT1G03650
Solyc07g061740.2	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
Solyc07g061750.2	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
Solyc07g061760.1	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
Solyc10g008390.2	AT1G03680|AT4G03520
Solyc07g054070.2	AT1G03687
Solyc02g078250.2	AT1G03700|AT4G03540
Solyc07g053930.1	AT1G03730|AT4G03600|AT4G28330|AT4G28340
Solyc10g008310.1	AT1G03730|AT4G03600|AT4G28330|AT4G28340
Solyc07g053910.2	AT1G03740|AT4G22940|AT5G44290
Solyc10g008280.2	AT1G03740|AT4G22940|AT5G44290
Solyc07g053870.2	AT1G03750
Solyc07g053860.2	AT1G03760
Solyc07g053800.2	AT1G03770|AT5G44280
Solyc10g008210.2	AT1G03780
Solyc12g005480.1	AT1G03780
Solyc07g053790.1	AT1G03780
Solyc07g053750.1	AT1G03790|AT5G44260
Solyc03g006320.1	AT1G03800
Solyc07g053740.1	AT1G03800
Solyc10g009110.1	AT1G03800
Solyc10g008190.2	AT1G03810|AT4G28440
Solyc07g053690.2	AT1G03810|AT4G28440
Solyc00g010750.1	AT1G03830
Solyc08g062250.1	AT1G03830
Solyc05g041770.1	AT1G03830
Solyc11g013740.1	AT1G03830
Solyc02g005060.1	AT1G03830
Solyc07g053570.2	AT1G03840
Solyc07g053550.1	AT1G03850|AT1G28480
Solyc10g008150.1	AT1G03850|AT1G28480
Solyc12g005500.1	AT1G03860|AT2G20530|AT4G28510|AT5G44140
Solyc10g008140.2	AT1G03860|AT2G20530|AT4G28510|AT5G44140
Solyc07g053530.1	AT1G03870|AT2G20520|AT5G44130
Solyc07g053540.1	AT1G03870|AT2G20520|AT5G44130
Solyc09g025210.2	AT1G03880|AT1G03890|AT4G28520|AT5G44120
Solyc06g008340.2	AT1G03900
Solyc09g066490.2	AT1G03900
Solyc09g066470.2	AT1G03905|AT5G44110
Solyc10g085410.1	AT1G03910
Solyc09g066460.2	AT1G03920|AT2G20470
Solyc06g008330.1	AT1G03920|AT2G20470
Solyc09g090240.1	AT1G03930|AT4G28540|AT5G44100
Solyc09g090230.1	AT1G03930|AT4G28540|AT5G44100
Solyc06g008290.2	AT1G03950
Solyc06g008280.2	AT1G03950
Solyc04g071510.2	AT1G03970|AT5G44080
Solyc09g072620.2	AT1G03980|AT5G44070
Solyc09g072640.2	AT1G03982|AT3G23380
Solyc09g072610.2	AT1G03990|AT4G28570
Solyc09g072710.2	AT1G04010
Solyc12g042000.1	AT1G04020
Solyc09g066080.1	AT1G04020
Solyc09g066090.2	AT1G04020
Solyc05g016230.2	AT1G04020
Solyc06g008210.2	AT1G04020
Solyc12g041980.1	AT1G04020
Solyc09g072800.2	AT1G04030|AT5G44040
Solyc09g090600.2	AT1G04040|AT5G44020
Solyc06g083760.2	AT1G04050|AT5G43990
Solyc09g072890.1	AT1G04050|AT5G43990
Solyc03g005700.1	AT1G04070|AT5G43970
Solyc06g008120.1	AT1G04070|AT5G43970
Solyc09g064590.2	AT1G04080
Solyc09g064540.2	AT1G04090|AT5G43950
Solyc09g064530.2	AT1G04100|AT4G28640
Solyc06g083720.1	AT1G04110
Solyc09g064490.1	AT1G04110
Solyc09g064440.2	AT1G04120
Solyc09g064380.2	AT1G04130
Solyc09g091020.2	AT1G04140|AT5G43930
Solyc05g053130.2	AT1G04140|AT5G43930
Solyc09g064230.1	AT1G04150
Solyc09g064200.2	AT1G04160|AT2G20290|AT4G28710|AT5G43900
Solyc06g008090.2	AT1G04160|AT2G20290|AT4G28710|AT5G43900
Solyc12g099470.1	AT1G04170|AT2G18720|AT4G18330
Solyc01g066690.2	AT1G04170|AT2G18720|AT4G18330
Solyc05g054310.2	AT1G04170|AT2G18720|AT4G18330
Solyc06g008050.2	AT1G04180|AT4G28720|AT5G43890
Solyc09g064160.2	AT1G04180|AT4G28720|AT5G43890
Solyc06g083700.2	AT1G04180|AT4G28720|AT5G43890
Solyc09g082540.2	AT1G04190
Solyc09g082680.2	AT1G04200
Solyc09g082800.2	AT1G04210
Solyc03g005320.2	AT1G04220|AT5G43760
Solyc09g083050.2	AT1G04220|AT5G43760
Solyc09g083270.2	AT1G04230|AT5G43720
Solyc06g053840.2	AT1G04240|AT3G23030|AT4G14560|AT5G43700
Solyc09g065850.2	AT1G04240|AT3G23030|AT4G14560|AT5G43700
Solyc04g054280.1	AT1G04240|AT3G23030|AT4G14560|AT5G43700
Solyc09g083280.2	AT1G04240|AT3G23030|AT4G14560|AT5G43700
Solyc06g053830.2	AT1G04250
Solyc09g083320.1	AT1G04260
Solyc06g053820.2	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
Solyc09g083370.2	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
Solyc02g082000.2	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
Solyc06g053810.2	AT1G04280
Solyc09g005390.2	AT1G04290
Solyc06g053750.2	AT1G04300|AT4G16045|AT5G43560
Solyc09g089560.2	AT1G04300|AT4G16045|AT5G43560
Solyc03g005430.2	AT1G04300|AT4G16045|AT5G43560
Solyc06g053740.2	AT1G04300|AT4G16045|AT5G43560
Solyc09g089610.2	AT1G04310|AT3G23150
Solyc06g053710.2	AT1G04310|AT3G23150
Solyc06g053700.1	AT1G04330|AT3G23170|AT4G14450
Solyc09g089650.1	AT1G04330|AT3G23170|AT4G14450
Solyc06g053660.2	AT1G04340|AT5G43460
Solyc06g053640.1	AT1G04360|AT5G43420
Solyc09g089890.1	AT1G04360|AT5G43420
Solyc03g005490.2	AT1G04360|AT5G43420
Solyc09g066340.1	AT1G04370|AT3G23220|AT3G23230|AT5G43410
Solyc03g005510.1	AT1G04370|AT3G23220|AT3G23230|AT5G43410
Solyc03g005500.1	AT1G04370|AT3G23220|AT3G23230|AT5G43410
Solyc09g089920.1	AT1G04370|AT3G23220|AT3G23230|AT5G43410
Solyc09g089910.1	AT1G04370|AT3G23220|AT3G23230|AT5G43410
Solyc10g005600.2	AT1G04390
Solyc09g090100.2	AT1G04400
Solyc09g090140.2	AT1G04410|AT5G43330
Solyc06g053600.2	AT1G04420
Solyc09g090190.2	AT1G04430|AT3G23300|AT4G14360
Solyc03g005600.2	AT1G04430|AT3G23300|AT4G14360
Solyc06g053560.2	AT1G04440|AT3G23340|AT4G14340|AT5G43320
Solyc09g090250.2	AT1G04440|AT3G23340|AT4G14340|AT5G43320
Solyc06g008240.2	AT1G04450|AT2G33460
Solyc06g083800.2	AT1G04450|AT2G33460
Solyc09g090480.2	AT1G04470|AT2G33420
Solyc03g005630.2	AT1G04470|AT2G33420
Solyc09g090610.2	AT1G04480|AT2G33370|AT3G04400
Solyc09g072870.2	AT1G04480|AT2G33370|AT3G04400
Solyc06g083780.2	AT1G04480|AT2G33370|AT3G04400
Solyc06g008170.2	AT1G04480|AT2G33370|AT3G04400
Solyc09g090640.2	AT1G04490|AT2G33360
Solyc12g096940.1	AT1G04500|AT2G33350
Solyc09g090660.2	AT1G04510|AT2G33340
Solyc09g090680.2	AT1G04520|AT2G33330
Solyc03g005690.2	AT1G04520|AT2G33330
Solyc09g090930.2	AT1G04530
Solyc03g005710.1	AT1G04530
Solyc12g096970.1	AT1G04540|AT2G33320
Solyc09g090920.2	AT1G04540|AT2G33320
Solyc03g005720.2	AT1G04540|AT2G33320
Solyc12g096980.1	AT1G04550|AT2G33310
Solyc09g090910.1	AT1G04550|AT2G33310
Solyc09g090820.2	AT1G04555
Solyc05g053160.2	AT1G04560
Solyc09g090800.1	AT1G04560
Solyc09g090760.2	AT1G04570|AT2G33280
Solyc01g088170.2	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc11g071580.1	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc01g088230.2	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc01g088210.2	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc11g071620.1	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc11g071610.1	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc01g009230.2	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc11g071590.1	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc11g071600.1	AT1G04580|AT2G27150|AT3G43600|AT5G20960
Solyc04g056370.2	AT1G04590
Solyc09g091080.2	AT1G04600|AT2G33240
Solyc09g091090.1	AT1G04610|AT2G33230
Solyc09g091100.2	AT1G04620
Solyc09g091170.2	AT1G04630|AT2G33220
Solyc01g006260.2	AT1G04635
Solyc02g077460.1	AT1G04640
Solyc04g049460.2	AT1G04640
Solyc09g091370.2	AT1G04650
Solyc09g091430.2	AT1G04680|AT3G24230|AT4G13710
Solyc12g098150.1	AT1G04690
Solyc09g091460.2	AT1G04700
Solyc09g091470.2	AT1G04710|AT2G33150
Solyc09g091650.2	AT1G04730
Solyc12g098180.1	AT1G04750|AT1G04760|AT2G32670|AT2G33110|AT2G33120
Solyc09g091610.2	AT1G04750|AT1G04760|AT2G32670|AT2G33110|AT2G33120
Solyc09g091600.2	AT1G04770|AT5G22794
Solyc09g091560.2	AT1G04780|AT3G24210
Solyc09g091480.2	AT1G04790
Solyc09g091750.2	AT1G04810|AT2G32730
Solyc05g053650.2	AT1G04810|AT2G32730
Solyc04g077020.2	AT1G04820|AT1G50010|AT4G14960
Solyc02g087880.2	AT1G04820|AT1G50010|AT4G14960
Solyc08g006890.2	AT1G04820|AT1G50010|AT4G14960
Solyc05g053710.2	AT1G04830|AT4G13730
Solyc09g092070.2	AT1G04830|AT4G13730
Solyc09g092050.2	AT1G04840
Solyc12g098420.1	AT1G04850
Solyc09g092040.2	AT1G04850
Solyc05g053690.1	AT1G04860|AT2G32780
Solyc09g091930.2	AT1G04860|AT2G32780
Solyc08g067050.2	AT1G04870
Solyc09g091960.2	AT1G04880
Solyc12g098360.1	AT1G04900
Solyc05g053720.2	AT1G04910
Solyc09g092130.2	AT1G04920
Solyc01g073920.2	AT1G04930|AT2G32840
Solyc04g076740.2	AT1G04940
Solyc05g054720.2	AT1G04940
Solyc01g074020.2	AT1G04945
Solyc08g082730.2	AT1G04960
Solyc07g049450.2	AT1G04980|AT2G32920
Solyc07g049470.2	AT1G04985
Solyc06g054600.2	AT1G04990|AT2G32930
Solyc11g011970.1	AT1G05000|AT2G32960
Solyc07g049380.1	AT1G05020
Solyc12g006000.1	AT1G05020
Solyc07g049310.2	AT1G05030
Solyc04g054700.2	AT1G05055
Solyc07g049200.2	AT1G05060
Solyc07g049730.2	AT1G05070|AT2G32580
Solyc07g049750.2	AT1G05090|AT4G20720
Solyc07g051870.1	AT1G05100|AT2G32510
Solyc07g051920.1	AT1G05100|AT2G32510
Solyc07g051890.1	AT1G05100|AT2G32510
Solyc07g051880.1	AT1G05100|AT2G32510
Solyc07g051930.1	AT1G05100|AT2G32510
Solyc07g051860.1	AT1G05100|AT2G32510
Solyc07g052290.1	AT1G05140|AT2G32480
Solyc04g081050.1	AT1G05150|AT2G32450
Solyc01g080900.2	AT1G05160|AT2G32440
Solyc07g052320.2	AT1G05170|AT2G32430
Solyc12g005880.1	AT1G05170|AT2G32430
Solyc11g072460.1	AT1G05180|AT2G32410|AT3G25880
Solyc12g005870.1	AT1G05180|AT2G32410|AT3G25880
Solyc12g100160.1	AT1G05190
Solyc05g045650.2	AT1G05200|AT2G32390
Solyc07g052400.2	AT1G05200|AT2G32390
Solyc07g052420.2	AT1G05205
