MTR_7g089460	AT1G01020|AT4G01510
MTR_0160s0030	AT1G02030|AT2G45120|AT3G60580
MTR_4g028610	AT1G02040
MTR_4g078730	AT1G02050|AT4G00040
MTR_7g044790	AT1G02060
MTR_8g005960	AT1G02065
MTR_7g445390	AT1G02070|AT3G60520
MTR_8g005880	AT1G02070|AT3G60520
MTR_8g005820	AT1G02080
MTR_7g081735	AT1G02090
MTR_7g081715	AT1G02100
MTR_7g081705	AT1G02110|AT3G60320
MTR_8g006850	AT1G02110|AT3G60320
MTR_8g006895	AT1G02120
MTR_7g081700	AT1G02130
MTR_8g006970	AT1G02130
MTR_3g118110	AT1G02140
MTR_8g007345	AT1G02145
MTR_8g031520	AT1G02150
MTR_7g050540	AT1G02160
MTR_7g451400	AT1G02170
MTR_8g009260	AT1G02180
MTR_7g090140	AT1G02190|AT1G02205
MTR_7g090100	AT1G02190|AT1G02205
MTR_4g054290	AT1G02190|AT1G02205
MTR_8g009560	AT1G02190|AT1G02205
MTR_8g009550	AT1G02190|AT1G02205
MTR_7g090120	AT1G02190|AT1G02205
MTR_4g054150	AT1G02190|AT1G02205
MTR_4g054320	AT1G02190|AT1G02205
MTR_8g009590	AT1G02190|AT1G02205
MTR_6g045483	AT1G02260
MTR_8g038580	AT1G02260
MTR_8g023830	AT1G02270
MTR_7g111060	AT1G02300|AT1G02305|AT4G01610
MTR_7g111050	AT1G02300|AT1G02305|AT4G01610
MTR_7g111740	AT1G02310
MTR_1g085420	AT1G02310
MTR_1g085430	AT1G02310
MTR_1g085320	AT1G02310
MTR_1g085310	AT1G02310
MTR_1g085350	AT1G02310
MTR_1g085470	AT1G02330
MTR_1g085140	AT1G02335|AT3G62020
MTR_7g111240	AT1G02335|AT3G62020
MTR_1g085500	AT1G02335|AT3G62020
MTR_7g110780	AT1G02360|AT4G01700
MTR_1g086820	AT1G02370|AT4G01990
MTR_1g086670	AT1G02380|AT4G01960
MTR_1g086650	AT1G02390|AT4G01950
MTR_1g086550	AT1G02400
MTR_3g053650	AT1G02410
MTR_3g064810	AT1G02410
MTR_1g086500	AT1G02420
MTR_1g086390	AT1G02460|AT4G01890
MTR_7g110050	AT1G02460|AT4G01890
MTR_1g086340	AT1G02470|AT1G02475|AT4G01883
MTR_7g110310	AT1G02500|AT4G01850
MTR_1g086080	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
MTR_1g086150	AT1G02520|AT1G02530|AT2G47000|AT3G62150|AT4G01820|AT4G01830
MTR_2g034220	AT1G02550|AT2G47340|AT3G36659
MTR_7g109610	AT1G02560
MTR_1g086940	AT1G02560
MTR_1g086950	AT1G02570|AT1G02575|AT2G47360
MTR_7g109590	AT1G02570|AT1G02575|AT2G47360
MTR_1g087150	AT1G02610|AT4G02075
MTR_7g109460	AT1G02610|AT4G02075
MTR_4g114710	AT1G02630
MTR_1g087240	AT1G02640
MTR_7g109390	AT1G02640
MTR_7g109360	AT1G02650|AT2G47440|AT3G62570|AT4G02100
MTR_3g102140	AT1G02650|AT2G47440|AT3G62570|AT4G02100
MTR_1g038470	AT1G02650|AT2G47440|AT3G62570|AT4G02100
MTR_1g087270	AT1G02650|AT2G47440|AT3G62570|AT4G02100
MTR_1g087330	AT1G02660|AT3G62590
MTR_7g109350	AT1G02660|AT3G62590
MTR_4g049500	AT1G02670|AT1G05120
MTR_1g087370	AT1G02680
MTR_1g083810	AT1G02690|AT4G02150
MTR_4g121435	AT1G02690|AT4G02150
MTR_7g112350	AT1G02690|AT4G02150
MTR_7g109280	AT1G02700
MTR_8g023290	AT1G02700
MTR_7g109210	AT1G02720|AT3G62660|AT4G02130
MTR_7g109200	AT1G02730
MTR_3g102460	AT1G02740
MTR_7g109145	AT1G02750|AT4G02200
MTR_1g087910	AT1G02780|AT3G16780|AT4G02230|AT4G16030
MTR_7g108955	AT1G02780|AT3G16780|AT4G02230|AT4G16030
MTR_1g088160	AT1G02790
MTR_1g088190	AT1G02800|AT4G02290
MTR_7g108875	AT1G02810|AT2G47550|AT4G02330
MTR_1g088260	AT1G02813|AT4G02360
MTR_7g108775	AT1G02813|AT4G02360
MTR_7g108735	AT1G02820|AT4G02380
MTR_1g088230	AT1G02820|AT4G02380
MTR_7g108745	AT1G02820|AT4G02380
MTR_1g088180	AT1G02840|AT4G02430
MTR_7g108810	AT1G02840|AT4G02430
MTR_8g058530	AT1G02840|AT4G02430
MTR_5g068740	AT1G02850
MTR_1g088610	AT1G02850
MTR_1g088630	AT1G02850
MTR_8g058625	AT1G02860
MTR_1g088670	AT1G02870
MTR_7g108680	AT1G02880|AT2G44750
MTR_8g058563	AT1G02880|AT2G44750
MTR_1g088730	AT1G02890|AT4G02480
MTR_1g088750	AT1G02890|AT4G02480
MTR_7g108590	AT1G02910
MTR_1g492670	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
MTR_1g088825	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
MTR_1g088840	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
MTR_1g088845	AT1G02920|AT1G02930|AT2G02930|AT2G47730|AT4G02520
MTR_3g082270	AT1G02960
MTR_7g108500	AT1G02970
MTR_7g445230	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_4g119450	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_4g119930	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_4g119490	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_4g119422	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_7g039770	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_3g115680	AT1G02980|AT1G43140|AT1G59790|AT1G59800
MTR_7g089290	AT1G03000
MTR_7g108290	AT1G03010
MTR_1g088885	AT1G03010
MTR_4g076080	AT1G03030
MTR_8g064430	AT1G03030
MTR_7g096100	AT1G03030
MTR_1g070870	AT1G03040|AT4G02590
MTR_2g008170	AT1G03050|AT4G02650
MTR_8g008860	AT1G03050|AT4G02650
MTR_7g095920	AT1G03055
MTR_1g471050	AT1G03055
MTR_1g071260	AT1G03060|AT4G02660
MTR_1g071430	AT1G03070|AT4G02690
MTR_7g095410	AT1G03080|AT4G02710
MTR_1g071540	AT1G03080|AT4G02710
MTR_1g071610	AT1G03090
MTR_4g081540	AT1G03100
MTR_1g071730	AT1G03103|AT2G48130
MTR_7g095190	AT1G03110
MTR_1g072090	AT1G03120|AT5G53260|AT5G53270
MTR_3g034660	AT1G03120|AT5G53260|AT5G53270
MTR_5g006130	AT1G03130|AT4G02770
MTR_1g104630	AT1G03130|AT4G02770
MTR_7g095000	AT1G03140|AT1G54590
MTR_7g117040	AT1G03150
MTR_1g072270	AT1G03160
MTR_7g094830	AT1G03170|AT4G02810
MTR_7g094790	AT1G03180
MTR_2g084735	AT1G03190
MTR_1g062440	AT1G03210|AT4G02850|AT4G02860
MTR_1g072470	AT1G03210|AT4G02850|AT4G02860
MTR_1g062530	AT1G03210|AT4G02850|AT4G02860
MTR_1g072490	AT1G03210|AT4G02850|AT4G02860
MTR_1g062540	AT1G03210|AT4G02850|AT4G02860
MTR_1g062500	AT1G03210|AT4G02850|AT4G02860
MTR_1g072500	AT1G03210|AT4G02850|AT4G02860
MTR_4g107220	AT1G03210|AT4G02850|AT4G02860
MTR_1g062510	AT1G03210|AT4G02850|AT4G02860
MTR_1g093100	AT1G03220|AT1G03230
MTR_2g022450	AT1G03220|AT1G03230
MTR_1g093130	AT1G03220|AT1G03230
MTR_1g072510	AT1G03250
MTR_7g094620	AT1G03270
MTR_8g077000	AT1G03280|AT4G20340|AT4G20810
MTR_1g072560	AT1G03290|AT4G02880
MTR_7g094560	AT1G03310
MTR_7g104700	AT1G03330
MTR_7g094500	AT1G03330
MTR_7g094470	AT1G03340|AT4G02920
MTR_1g089980	AT1G03340|AT4G02920
MTR_7g094240	AT1G03350
MTR_1g089850	AT1G03350
MTR_4g121550	AT1G03360
MTR_2g093790	AT1G03360
MTR_1g089740	AT1G03365|AT4G03000
MTR_2g027360	AT1G03370
MTR_4g134190	AT1G03370
MTR_1g089110	AT1G03380
MTR_1g053315	AT1G03390
MTR_4g099390	AT1G03400|AT1G03410|AT1G04350|AT1G04380|AT1G06620|AT1G06640|AT1G06645|AT1G06650|AT2G25450|AT2G30830|AT2G30840|AT3G61400|AT5G43440|AT5G43450|AT5G59530|AT5G59540
MTR_4g099380	AT1G03400|AT1G03410|AT1G04350|AT1G04380|AT1G06620|AT1G06640|AT1G06645|AT1G06650|AT2G25450|AT2G30830|AT2G30840|AT3G61400|AT5G43440|AT5G43450|AT5G59530|AT5G59540
MTR_1g089130	AT1G03430|AT3G29350|AT4G04402|AT5G39340
MTR_1g089280	AT1G03440|AT4G03010
MTR_7g094010	AT1G03440|AT4G03010
MTR_1g089370	AT1G03445|AT4G03080
MTR_7g107580	AT1G03457|AT4G03110
MTR_1g088965	AT1G03470|AT2G47920
MTR_7g108070	AT1G03470|AT2G47920
MTR_5g098800	AT1G03475|AT4G03205
MTR_7g015860	AT1G03495|AT1G03940
MTR_2g089665	AT1G03495|AT1G03940
MTR_2g089765	AT1G03495|AT1G03940
MTR_8g012750	AT1G03495|AT1G03940
MTR_2g089670	AT1G03495|AT1G03940
MTR_2g061460	AT1G03510
MTR_0072s0020	AT1G03520|AT4G03340
MTR_2g090095	AT1G03530
MTR_0072s0050	AT1G03530
MTR_2g048855	AT1G03540
MTR_2g090115	AT1G03550
MTR_1g054680	AT1G03560
MTR_2g090190	AT1G03590|AT4G03415
MTR_4g037470	AT1G03590|AT4G03415
MTR_2g090200	AT1G03600
MTR_4g044297	AT1G03610|AT4G03420|AT4G28150
MTR_2g090210	AT1G03610|AT4G03420|AT4G28150
MTR_0258s0040	AT1G03620
MTR_4g046047	AT1G03650
MTR_5g085440	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_2g033045	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_5g085480	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_5g085830	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_5g085500	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_2g033050	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_5g085810	AT1G03670|AT4G03440|AT4G03450|AT4G03460|AT4G03470|AT4G03480|AT4G03490|AT4G03500|AT4G05040|AT4G14390|AT4G14400
MTR_2g090335	AT1G03687
MTR_0004s0210	AT1G03700|AT4G03540
MTR_4g078240	AT1G03730|AT4G03600|AT4G28330|AT4G28340
MTR_4g078290	AT1G03740|AT4G22940|AT5G44290
MTR_2g090405	AT1G03740|AT4G22940|AT5G44290
MTR_4g078460	AT1G03750
MTR_4g078495	AT1G03750
MTR_4g078505	AT1G03760
MTR_2g090595	AT1G03770|AT5G44280
MTR_4g078565	AT1G03780
MTR_4g078660	AT1G03790|AT5G44260
MTR_2g090605	AT1G03790|AT5G44260
MTR_2g014340	AT1G03800
MTR_2g090745	AT1G03840
MTR_2g017720	AT1G03840
MTR_4g079110	AT1G03850|AT1G28480
MTR_2g090755	AT1G03850|AT1G28480
MTR_2g090760	AT1G03860|AT2G20530|AT4G28510|AT5G44140
MTR_4g078200	AT1G03860|AT2G20530|AT4G28510|AT5G44140
MTR_2g090765	AT1G03870|AT2G20520|AT5G44130
MTR_1g069920	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_1g072600	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_7g097000	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_1g072610	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_1g072630	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_7g096990	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_7g096970	AT1G03880|AT1G03890|AT4G28520|AT5G44120
MTR_1g069765	AT1G03900
MTR_1g069750	AT1G03905|AT5G44110
MTR_7g102700	AT1G03910
MTR_1g061860	AT1G03910
MTR_7g097150	AT1G03920|AT2G20470
MTR_1g069735	AT1G03920|AT2G20470
MTR_7g097160	AT1G03930|AT4G28540|AT5G44100
MTR_1g069720	AT1G03930|AT4G28540|AT5G44100
MTR_7g097170	AT1G03950
MTR_1g098590	AT1G03970|AT5G44080
MTR_7g097190	AT1G03980|AT5G44070
MTR_1g075690	AT1G03982|AT3G23380
MTR_7g097210	AT1G03990|AT4G28570
MTR_7g097220	AT1G04000|AT5G44060
MTR_1g069640	AT1G04000|AT5G44060
MTR_7g098010	AT1G04010
MTR_7g098170	AT1G04020
MTR_1g069610	AT1G04030|AT5G44040
MTR_1g045120	AT1G04040|AT5G44020
MTR_1g073610	AT1G04040|AT5G44020
MTR_1g069570	AT1G04050|AT5G43990
MTR_7g098390	AT1G04050|AT5G43990
MTR_1g069560	AT1G04070|AT5G43970
MTR_1g045505	AT1G04070|AT5G43970
MTR_7g098430	AT1G04080
MTR_4g077620	AT1G04090|AT5G43950
MTR_5g007860	AT1G04090|AT5G43950
MTR_1g069495	AT1G04100|AT4G28640
MTR_7g098630	AT1G04110
MTR_1g069450	AT1G04120
MTR_7g098690	AT1G04120
MTR_1g069355	AT1G04140|AT5G43930
MTR_7g099210	AT1G04140|AT5G43930
MTR_7g099290	AT1G04160|AT2G20290|AT4G28710|AT5G43900
MTR_1g069290	AT1G04160|AT2G20290|AT4G28710|AT5G43900
MTR_1g069305	AT1G04160|AT2G20290|AT4G28710|AT5G43900
MTR_2g075870	AT1G04170|AT2G18720|AT4G18330
MTR_2g069440	AT1G04170|AT2G18720|AT4G18330
MTR_7g099160	AT1G04180|AT4G28720|AT5G43890
MTR_1g069275	AT1G04180|AT4G28720|AT5G43890
MTR_7g099330	AT1G04180|AT4G28720|AT5G43890
MTR_1g041435	AT1G04190
MTR_1g102840	AT1G04200
MTR_4g068740	AT1G04210
MTR_1g076430	AT1G04220|AT5G43760
MTR_1g041085	AT1G04220|AT5G43760
MTR_1g076290	AT1G04230|AT5G43720
MTR_1g070830	AT1G04240|AT3G23030|AT4G14560|AT5G43700
MTR_1g040675	AT1G04240|AT3G23030|AT4G14560|AT5G43700
MTR_1g076270	AT1G04240|AT3G23030|AT4G14560|AT5G43700
MTR_1g093350	AT1G04240|AT3G23030|AT4G14560|AT5G43700
MTR_1g093090	AT1G04260
MTR_8g105110	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
MTR_1g070450	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
MTR_4g075450	AT1G04270|AT1G33850|AT5G09490|AT5G09500|AT5G09510|AT5G43640
MTR_1g075260	AT1G04280
MTR_1g075250	AT1G04280
MTR_1g475250	AT1G04280
MTR_1g075200	AT1G04280
MTR_3g098180	AT1G04290
MTR_3g098120	AT1G04290
MTR_3g098170	AT1G04290
MTR_3g098130	AT1G04290
MTR_3g098160	AT1G04290
MTR_3g098140	AT1G04290
MTR_3g098100	AT1G04290
MTR_2g034780	AT1G04300|AT4G16045|AT5G43560
MTR_8g089030	AT1G04300|AT4G16045|AT5G43560
MTR_1g073840	AT1G04310|AT3G23150
MTR_1g044210	AT1G04310|AT3G23150
MTR_1g044125	AT1G04330|AT3G23170|AT4G14450
MTR_1g073910	AT1G04330|AT3G23170|AT4G14450
MTR_1g073940	AT1G04340|AT5G43460
MTR_1g043410	AT1G04360|AT5G43420
MTR_1g074290	AT1G04370|AT3G23220|AT3G23230|AT5G43410
MTR_1g074280	AT1G04370|AT3G23220|AT3G23230|AT5G43410
MTR_1g074250	AT1G04370|AT3G23220|AT3G23230|AT5G43410
MTR_1g074230	AT1G04370|AT3G23220|AT3G23230|AT5G43410
MTR_1g074270	AT1G04370|AT3G23220|AT3G23230|AT5G43410
MTR_2g069560	AT1G04390
MTR_1g043190	AT1G04400
MTR_1g076190	AT1G04400
MTR_1g076130	AT1G04410|AT5G43330
MTR_1g043040	AT1G04410|AT5G43330
MTR_1g042730	AT1G04420
MTR_1g075900	AT1G04430|AT3G23300|AT4G14360
MTR_1g442840	AT1G04430|AT3G23300|AT4G14360
MTR_1g042280	AT1G04440|AT3G23340|AT4G14340|AT5G43320
MTR_1g075870	AT1G04440|AT3G23340|AT4G14340|AT5G43320
MTR_1g041515	AT1G04450|AT2G33460
MTR_1g073760	AT1G04470|AT2G33420
MTR_6g043090	AT1G04470|AT2G33420
MTR_1g044480	AT1G04470|AT2G33420
MTR_5g464620	AT1G04480|AT2G33370|AT3G04400
MTR_1g069585	AT1G04480|AT2G33370|AT3G04400
MTR_7g098290	AT1G04480|AT2G33370|AT3G04400
MTR_1g026090	AT1G04480|AT2G33370|AT3G04400
MTR_5g054560	AT1G04480|AT2G33370|AT3G04400
MTR_1g073360	AT1G04490|AT2G33360
MTR_1g073350	AT1G04500|AT2G33350
MTR_1g044785	AT1G04500|AT2G33350
MTR_1g044720	AT1G04510|AT2G33340
MTR_1g044580	AT1G04520|AT2G33330
MTR_1g073320	AT1G04520|AT2G33330
MTR_1g073230	AT1G04530
MTR_1g045780	AT1G04540|AT2G33320
MTR_1g073210	AT1G04540|AT2G33320
MTR_1g045660	AT1G04555
MTR_1g094035	AT1G04560
MTR_3g008470	AT1G04570|AT2G33280
MTR_5g087390	AT1G04580|AT2G27150|AT3G43600|AT5G20960
MTR_5g087410	AT1G04580|AT2G27150|AT3G43600|AT5G20960
MTR_5g012120	AT1G04590
MTR_4g087560	AT1G04600|AT2G33240
MTR_1g037490	AT1G04600|AT2G33240
MTR_1g037500	AT1G04600|AT2G33240
MTR_1g046230	AT1G04610|AT2G33230
MTR_1g046250	AT1G04620
MTR_1g046380	AT1G04630|AT2G33220
MTR_5g068650	AT1G04635
MTR_1g106190	AT1G04640
MTR_6g014520	AT1G04645
MTR_8g079740	AT1G04645
MTR_3g103100	AT1G04645
MTR_1g041485	AT1G04645
MTR_1g068650	AT1G04645
MTR_6g026780	AT1G04645
MTR_6g004360	AT1G04645
MTR_6g004290	AT1G04645
MTR_6g081370	AT1G04645
MTR_1g087990	AT1G04645
MTR_1g049050	AT1G04645
MTR_6g014730	AT1G04645
MTR_5g041640	AT1G04645
MTR_4g094455	AT1G04645
MTR_6g081340	AT1G04645
MTR_1g088210	AT1G04645
MTR_0136s0030	AT1G04645
MTR_6g004380	AT1G04645
MTR_1g060930	AT1G04645
MTR_1g058430	AT1G04645
MTR_6g004340	AT1G04645
MTR_1g057250	AT1G04645
MTR_1g060940	AT1G04645
MTR_1g069030	AT1G04645
MTR_1g087960	AT1G04645
MTR_1g057240	AT1G04645
MTR_6g004310	AT1G04645
MTR_1g049030	AT1G04645
MTR_1g058400	AT1G04645
MTR_2g008690	AT1G04645
MTR_1g057310	AT1G04645
MTR_6g026750	AT1G04645
MTR_1g058520	AT1G04645
MTR_1g041445	AT1G04645
MTR_1g057370	AT1G04645
MTR_1g058410	AT1G04645
MTR_1g058500	AT1G04645
MTR_6g012383	AT1G04645
MTR_1g028420	AT1G04645
